Name,What,Who,Phone,Free Call,Email,Website,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Public Holidays,Tram routes,Bus routes,Nearest train station,Category 1,Longitude,Latitude,address
Child Protection Emergency Service,,,13 12 78,,,"dhs.vic.gov.au/for-individuals/children,-families-and-young-people/child-protection",,,,,,,,,,,,Helpful phone number,,,  
Lifeline (24 hour crisis counselling),,,13 11 14,,,lifeline.org.au,,,,,,,,,,,,Helpful phone number,,,  
Narcotics Anonymous - Victorian Area Helpline,,,9525 2833,,info@navic.net.au,navic.net.au,,,,,,,,,,,,Helpful phone number,,,  
Aboriginal Family Violence Prevention and Legal Service Victoria,"Legal Services, Counselling Support, Information, Referral and Support, Community Education and Training",,9244 3333,1800 105 303,,fvpls.org,9.00am – 5.00pm,9.00am – 5.00pm,9.00am – 5.00pm,9.00am – 5.00pm,9.00am – 5.00pm,Closed,Closed,Closed,86 (stop 15 Gertrude St),,,Legal / Financial Advice,144.986299,-37.806427,Level 3 70-80 Wellington Street Collingwood
Alcoholics Anonymous Victoria,"AA is a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. Two gay and lesbian groups and two Koori groups are held weekly.  24 hour Help Line",,9429 1833,,,aavictoria.org.au,9:00am – 5:00pm,9:00am – 5:00pm,9:00am – 5:00pm,9:00am – 5:00pm,9:00am – 5:00pm,10:00 am. – 2:00 pm,Closed,Closed,"24, 78, 79, 109  (stop 21 Church St)",,,Drug and Alcohol,145.000307,-37.811648,Level 1 36 Church Street Richmond
Royal Melbourne Hospital,Outpatients’ emergency service,,9342 7000,,enquiries@mh.org.au,rmh.mh.org.au,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,"19 (stop 10 Royal Melbourne Hospital), 55, 59 (stop 14 Royal Melbourne Hospital)","401, 402 (Royal Melbourne Hospital/Grattan St (Parkville) stop ID 7587)",,Hospitals / Emergency,144.956177,-37.798877, 300 Grattan Street Parkville
Anglicare Victoria – St.Mark’s Community Centre,"St Mark’s provides assistance to homeless people.  Drop-in centre Monday to Friday.
Bread, fruit, vegetables, weekly food parcels are available.
Lunch, Tea and Coffee facilities, Showers, Washing machines and dryers, Toiletries, Public telephones, Advice and referral.
St Mark’s will provide up to five PBS prescriptions per month for homeless people through the co-payment prescription scheme.  (Not Methadone / Buprenorphine).",,9419 3288,,,anglicarevic.org.au,"11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)","11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)",Closed,Closed,Closed,"11 (stop 40), 86 (stop 18 Grant St)",,,Food,144.981835,-37.801611, 250 George Street Fitzroy
Brotherhood of St Laurence Coolibah Centre,"Breakfast $1.00 
lunch $3, afternoon tea $0.20
showers
laundry facilities
health services
short-term case management
accommodation referral
social engagement activities
psychiatric referral
optometry every second month.","A person may be eligible for the Coolibah Centre if:

they are 55 years of age or over and live in the City of Yarra
they are experiencing homelessness or living in insecure housing
they are socially and financially disadvantaged
they have a disability and are receiving an Individual Support Plan (ISP) funding (45 years and over)
have a carer who needs respite.",1300 147 147,,bacci@bsl.org.au,bsl.org.au/services/older-people/day-and-respite-services/the-coolibah-centre/,9.30am - 4.30pm,Closed,9.30am - 4.30pm,Closed,9.30am - 4.30pm,Closed,Closed,Closed,"11, 12, 86 (stop 13 Brunswick St)",,,Food,144.977265,-37.805286, 67A Brunswick Street Fitzroy
CASA House Centre Against Sexual Assault,"counselling, advocacy, health services, legal advice

The crisis-care unit at the Royal Women’s Hospital is available for recent assault victims.",,9635 3600,,casa@thewomens.org.au,casahouse.com.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,"1, 3, 3a, 5, 6, 8, 16, 64, 67, 72 (stop  8 Melbourne Central Station)",,Melbourne Central Station,Hospitals / Emergency,144.965833,-37.810904,3rd Floor Queen Victoria Women’s Centre 210 Lonsdale Street Melbourne
COHEALTH,"Outreach Support Services for people experiencing or at risk of becoming homelessness., Homeless Mental Health and Housing Service,
Allied Health Outreach Services, Dietetics and Café Meals, Podiatry, Occupational Therapy, Physiotherapy",,1300 022 247,,,cohealth.org.au,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,Closed,Closed,Closed,"19, 57, 59 (stop 7 RMIT University)",,Melbourne Central Station,Counselling and Psychiatric Services,144.961214,-37.806518, 53 Victoria Street Melbourne
COHEALTH,"Provides a broad range of health and welfare services 
Drop-in Clinic for homeless people every Monday from 9am -12 noon. Services include physiotherapy, podiatry, occupational therapy, dietetics, and nursing.

Aboriginal engagement worker available, café meals program for homeless people, drop-in social work/counselling sessions, showers, needle and syringe program

dental services for homeless people and for people with drug and/or alcohol issues – phone dental reception:  9411 3505",,9411 3555,,,cohealth.org.au,9.00am - 5.30pm,9.00am - 5.30pm,9.00am - 5.30pm,9.00am - 5.30pm,9.00am - 5.30pm,9.00am - 12.00 Noon,Closed,Closed,"11, 86, 12 (stop 13 Brunswick St)",,,Health Services / Pharmacy,144.97697,-37.805149, 75 Brunswick Street Fitzroy
Flemington & Kensington Community Legal Centre,free legal advice and assistance for residents of Flemington and Kensington,residents of Flemington and Kensington,9376 4355,,fklegal@fkclc.org.au,communitylaw.org.au/flemingtonkensington,"9:00am – 5:00pm (Closed:  12:30pm – 1:30pm for Lunch),  6.00 pm -7.00pm (appointments only)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)","9:00am – 5:00pm
(Closed:  12:30pm – 1:30pm for Lunch)",Closed,Closed,Closed,57 (stop 26 Newmarket Station),,Newmarket (Craigieburn Line),Legal / Financial Advice,144.928727,-37.789148, 22 Bellair Street Kensington
Hanover Southbank,"short term supported crisis accommodation for men, women and couples

accommodation support and referrals, case management and planning, health services, learning and activities, drug and alcohol support, shared kitchen and bathroom facilities",,9699 4566,,southbank@hanover.org.au,hanover.org.au,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,Closed,Closed,"96, 109, 12 (stop 124B Whiteman St)",,,Accommodation,144.956268,-37.827398, 52 Haig Street South Melbourne
HomeGround Services,"initial assessment and planning for housing crisis accommodation
limited financial assistance
assistance with public housing applications
free legal advice and assistance provided by Justice Connect.  Contact Justice Connect on telephone 1800 606 313 to talk to an Intake Worker to make an appointment
Not-for-profit real estate agency committed to providing landlords and tenants with a professional property management service, while reinvesting our revenue back into the community (Phone: 9288 9600)",,9288 9611,1800 606 313,info@homeground.org.au,homeground.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,86 (stop 16 Peel St),,,Accommodation,144.984797,-37.804759, 68 Oxford Street Collingwood
